[00:03:25] Bal:0.00 | PnL:0.0000 | UP
[00:03:59] Bal:0.00 | PnL:0.0000 | UP
[00:04:33] Bal:0.00 | PnL:0.0000 | UP
[00:05:04] Bal:0.00 | PnL:0.0000 | UP
[00:05:37] Bal:0.00 | PnL:0.0000 | UP
[00:06:10] Bal:0.00 | PnL:0.0000 | UP
[00:06:51] Bal:0.00 | PnL:0.0000 | UP
[00:07:33] Bal:0.00 | PnL:0.0000 | UP
[00:08:07] Bal:0.00 | PnL:0.0000 | UP
[00:10:56] Bal:0.00 | PnL:0.0000 | UP
[00:11:32] Bal:0.00 | PnL:0.0000 | UP
[00:12:05] Bal:0.00 | PnL:0.0000 | UP
[00:12:37] Bal:0.00 | PnL:0.0000 | UP
[00:13:04] Bal:0.00 | PnL:0.0000 | UP
[00:13:33] Bal:0.00 | PnL:0.0000 | DOWN
[00:14:06] Bal:0.00 | PnL:0.0000 | UP
[00:14:34] Bal:0.00 | PnL:0.0000 | UP
[00:15:04] Bal:0.00 | PnL:0.0000 | DOWN
[00:15:33] Bal:0.00 | PnL:0.0000 | UP
[00:16:01] Bal:0.00 | PnL:0.0000 | UP
[00:16:29] Bal:0.00 | PnL:0.0000 | DOWN
[00:17:01] Bal:0.00 | PnL:0.0000 | DOWN
[00:17:30] Bal:0.00 | PnL:0.0000 | DOWN
